tier,layer,component,perturbation,mean_delta,std_delta
tier_2,7,mlp_out,transliteration,0.13952499999999998,0.222975
tier_2,7,residual,code_switching,0.50955,0.6950000000000001
tier_2,7,residual,standard_translation,-0.13105,0.551575
tier_2,7,residual,transliteration,-0.3411,0.6607000000000001
tier_2,8,attn_out,code_switching,-0.006624999999999999,0.1184
tier_2,8,attn_out,standard_translation,-0.05885,0.1412
tier_2,8,attn_out,transliteration,0.05005,0.231025
tier_2,8,mlp_out,code_switching,0.050575,0.1892
tier_2,8,mlp_out,standard_translation,-0.04885,0.256625
tier_2,8,mlp_out,transliteration,0.13087500000000002,0.232925
tier_2,8,residual,code_switching,0.477975,0.6719
tier_2,8,residual,standard_translation,-0.14095,0.566625
tier_2,8,residual,transliteration,-0.347475,0.6389
tier_2,9,attn_out,code_switching,-0.06655,0.11682500000000001
tier_2,9,attn_out,standard_translation,0.054575,0.10097500000000001
tier_2,9,attn_out,transliteration,0.1288,0.1376
tier_2,9,mlp_out,code_switching,0.006525000000000003,0.249
tier_2,9,mlp_out,standard_translation,-0.048825,0.3302
tier_2,9,mlp_out,transliteration,0.22305,0.291025
tier_2,9,residual,code_switching,0.410825,0.6437999999999999
tier_2,9,residual,standard_translation,-0.172625,0.559775
tier_2,9,residual,transliteration,-0.41985,0.73305
tier_2,10,attn_out,code_switching,-0.0548,0.10855000000000001
tier_2,10,attn_out,standard_translation,-0.0074750000000000025,0.1782
tier_2,10,attn_out,transliteration,0.0036749999999999977,0.18915
tier_2,10,mlp_out,code_switching,-0.2106,0.30217499999999997
tier_2,10,mlp_out,standard_translation,0.022699999999999998,0.190425
tier_2,10,mlp_out,transliteration,0.23785,0.292875
tier_2,10,residual,code_switching,0.456375,0.658175
tier_2,10,residual,standard_translation,-0.19415000000000002,0.69265
tier_2,10,residual,transliteration,-0.48375,0.6882250000000001
tier_2,11,attn_out,code_switching,-0.020475,0.08265
tier_2,11,attn_out,standard_translation,0.001925,0.111425
tier_2,11,attn_out,transliteration,-0.07425,0.17365
tier_2,11,mlp_out,code_switching,-0.045149999999999996,0.1607
tier_2,11,mlp_out,standard_translation,-0.038575,0.2521
tier_2,11,mlp_out,transliteration,0.14007499999999998,0.2593
tier_2,11,residual,code_switching,0.41485,0.5593250000000001
tier_2,11,residual,standard_translation,-0.23365000000000002,0.66625
tier_2,11,residual,transliteration,-0.47869999999999996,0.65215
tier_2,12,attn_out,code_switching,-0.01055,0.0805
tier_2,12,attn_out,standard_translation,-0.114275,0.1902
tier_2,12,attn_out,transliteration,-0.113275,0.191075
tier_2,12,mlp_out,code_switching,-0.060275,0.11624999999999999
tier_2,12,mlp_out,standard_translation,-0.006999999999999992,0.127825
tier_2,12,mlp_out,transliteration,0.114775,0.242975
tier_2,12,residual,code_switching,0.306125,0.54915
tier_2,12,residual,standard_translation,-0.3037,0.65405
tier_2,12,residual,transliteration,-0.479025,0.7483
tier_2,13,attn_out,code_switching,0.027549999999999998,0.067875
tier_2,13,attn_out,standard_translation,-0.05605,0.14535
tier_2,13,attn_out,transliteration,-0.047075,0.18945
tier_2,13,mlp_out,code_switching,0.0339,0.08655
tier_2,13,mlp_out,standard_translation,0.007825000000000002,0.1765
tier_2,13,mlp_out,transliteration,0.075675,0.17595
tier_2,13,residual,code_switching,0.17902500000000002,0.46695
tier_2,13,residual,standard_translation,-0.28955,0.44252500000000006
tier_2,13,residual,transliteration,-0.4228,0.7693
tier_2,14,attn_out,code_switching,0.002725,0.037375
tier_2,14,attn_out,standard_translation,-0.0613,0.097625
tier_2,14,attn_out,transliteration,-0.1117,0.1271
tier_2,14,mlp_out,code_switching,0.045649999999999996,0.10095
tier_2,14,mlp_out,standard_translation,-0.051675,0.160625
tier_2,14,mlp_out,transliteration,-0.08735,0.2604
tier_2,14,residual,code_switching,0.1379,0.484075
tier_2,14,residual,standard_translation,-0.27415,0.393425
tier_2,14,residual,transliteration,-0.40495000000000003,0.7811
tier_2,15,attn_out,code_switching,-0.019875,0.0741
tier_2,15,attn_out,standard_translation,-0.07237500000000001,0.0955
tier_2,15,attn_out,transliteration,-0.07120000000000001,0.23445000000000002
tier_2,15,mlp_out,code_switching,0.0164,0.121425
tier_2,15,mlp_out,standard_translation,-0.105075,0.166675
tier_2,15,mlp_out,transliteration,-0.009075,0.2029
tier_2,15,residual,code_switching,0.0372,0.47792500000000004
tier_2,15,residual,standard_translation,-0.35005,0.32730000000000004
tier_2,15,residual,transliteration,-0.34512499999999996,0.9098
tier_2,16,attn_out,code_switching,-0.023649999999999997,0.063925
tier_2,16,attn_out,standard_translation,-0.060625,0.1023
tier_2,16,attn_out,transliteration,-0.0294,0.08255
tier_2,16,mlp_out,code_switching,-0.051225,0.060700000000000004
tier_2,16,mlp_out,standard_translation,-0.1645,0.146175
tier_2,16,mlp_out,transliteration,0.0073500000000000015,0.13085000000000002
tier_2,16,residual,code_switching,-0.016324999999999992,0.48619999999999997
tier_2,16,residual,standard_translation,-0.42207500000000003,0.311125
tier_2,16,residual,transliteration,-0.42435,0.903575
tier_2,17,attn_out,code_switching,-0.01415,0.04685
tier_2,17,attn_out,standard_translation,-0.096625,0.051449999999999996
tier_2,17,attn_out,transliteration,-0.015775,0.102775
tier_2,17,mlp_out,code_switching,-0.010125000000000002,0.1023
tier_2,17,mlp_out,standard_translation,-0.1179,0.19555
tier_2,17,mlp_out,transliteration,-0.037250000000000005,0.1634
tier_2,17,residual,code_switching,0.010099999999999994,0.46597500000000003
tier_2,17,residual,standard_translation,-0.39607499999999995,0.32455
tier_2,17,residual,transliteration,-0.469025,0.898275
tier_2,18,attn_out,code_switching,0.02665,0.055925
tier_2,18,attn_out,standard_translation,-0.012175,0.064625
tier_2,18,attn_out,transliteration,0.00595,0.08485
tier_2,18,mlp_out,code_switching,-0.015324999999999998,0.096
tier_2,18,mlp_out,standard_translation,-0.028249999999999997,0.115925
tier_2,18,mlp_out,transliteration,-0.11445,0.113275
tier_2,18,residual,code_switching,0.086925,0.3115
tier_2,18,residual,standard_translation,-0.295325,0.14332499999999998
tier_2,18,residual,transliteration,-0.161525,0.4317
tier_2,19,attn_out,code_switching,-0.0039250000000000005,0.0442
tier_2,19,attn_out,standard_translation,0.03575,0.052974999999999994
tier_2,19,attn_out,transliteration,-0.009325,0.04585
tier_2,19,mlp_out,code_switching,0.000524999999999999,0.046400000000000004
tier_2,19,mlp_out,standard_translation,-0.027925,0.058824999999999995
tier_2,19,mlp_out,transliteration,0.07922499999999999,0.097025
tier_2,19,residual,code_switching,0.077775,0.2521
tier_2,19,residual,standard_translation,-0.30655,0.14024999999999999
tier_2,19,residual,transliteration,-0.20792500000000003,0.40215
tier_2,20,attn_out,code_switching,0.013874999999999998,0.0238
tier_2,20,attn_out,standard_translation,-0.00035000000000000005,0.026725
tier_2,20,attn_out,transliteration,0.012775,0.0228
tier_2,20,mlp_out,code_switching,-0.017499999999999998,0.055625
tier_2,20,mlp_out,standard_translation,0.0319,0.06845
tier_2,20,mlp_out,transliteration,0.02575,0.0487
tier_2,20,residual,code_switching,0.08635,0.255375
tier_2,20,residual,standard_translation,-0.2272,0.15305000000000002
tier_2,20,residual,transliteration,-0.1693,0.31372500000000003
tier_2,21,attn_out,code_switching,0.014325000000000001,0.030100000000000002
tier_2,21,attn_out,standard_translation,-0.014325000000000001,0.0184
tier_2,21,attn_out,transliteration,-0.034425,0.020175
tier_2,21,mlp_out,code_switching,0.036574999999999996,0.041825
tier_2,21,mlp_out,standard_translation,-0.024975,0.03505
tier_2,21,mlp_out,transliteration,-0.038625,0.053925
tier_2,21,residual,code_switching,0.129725,0.162725
tier_2,21,residual,standard_translation,-0.23145000000000002,0.154125
tier_2,21,residual,transliteration,-0.26435,0.296625
tier_2,22,attn_out,code_switching,0.0024000000000000002,0.0072499999999999995
tier_2,22,attn_out,standard_translation,-0.0038,0.01215
tier_2,22,attn_out,transliteration,-0.018250000000000002,0.012375
tier_2,22,mlp_out,code_switching,0.0233,0.0382
tier_2,22,mlp_out,standard_translation,0.02205,0.0355
tier_2,22,mlp_out,transliteration,-0.031075,0.0251
tier_2,22,residual,code_switching,0.04985,0.1268
tier_2,22,residual,standard_translation,-0.1105,0.164525
tier_2,22,residual,transliteration,-0.2429,0.22549999999999998
tier_2,23,attn_out,code_switching,-0.0063,0.020325
tier_2,23,attn_out,standard_translation,-0.006125,0.02385
tier_2,23,attn_out,transliteration,-0.010125,0.019125
tier_2,23,mlp_out,code_switching,0.012549999999999999,0.02705
tier_2,23,mlp_out,standard_translation,-0.015425000000000001,0.015325
tier_2,23,mlp_out,transliteration,-0.018875,0.02585
tier_2,23,residual,code_switching,0.03937499999999999,0.120175
tier_2,23,residual,standard_translation,-0.10645,0.16405
tier_2,23,residual,transliteration,-0.178525,0.1359
tier_2,24,attn_out,code_switching,0.002675,0.010849999999999999
tier_2,24,attn_out,standard_translation,-0.001375,0.007
tier_2,24,attn_out,transliteration,0.0124,0.00825
tier_2,24,mlp_out,code_switching,0.009200000000000002,0.020050000000000002
tier_2,24,mlp_out,standard_translation,-0.012050000000000002,0.0269
