tier,layer,component,perturbation,mean_restoration,std_restoration
tier_2,10,mlp_out,standard_translation,-0.06765,0.168625
tier_2,10,mlp_out,transliteration,-0.030350000000000002,0.034675
tier_2,10,residual,code_switching,0.138275,0.237625
tier_2,10,residual,standard_translation,-0.2486,0.479
tier_2,10,residual,transliteration,0.0644,0.08130000000000001
tier_2,11,attn_out,code_switching,-0.00915,0.022075
tier_2,11,attn_out,standard_translation,-0.00965,0.057525
tier_2,11,attn_out,transliteration,0.015399999999999999,0.028475
tier_2,11,mlp_out,code_switching,-0.026075,0.055375
tier_2,11,mlp_out,standard_translation,-0.0665,0.228525
tier_2,11,mlp_out,transliteration,-0.024675000000000002,0.029125
tier_2,11,residual,code_switching,0.1227,0.20247500000000002
tier_2,11,residual,standard_translation,-0.265875,0.503825
tier_2,11,residual,transliteration,0.06855,0.083225
tier_2,12,attn_out,code_switching,-0.007050000000000001,0.0184
tier_2,12,attn_out,standard_translation,0.005774999999999999,0.1586
tier_2,12,attn_out,transliteration,0.013425000000000001,0.03375
tier_2,12,mlp_out,code_switching,-0.0155,0.024675
tier_2,12,mlp_out,standard_translation,-0.014050000000000002,0.175225
tier_2,12,mlp_out,transliteration,-0.0115,0.039224999999999996
tier_2,12,residual,code_switching,0.099925,0.194675
tier_2,12,residual,standard_translation,-0.305775,0.525025
tier_2,12,residual,transliteration,0.06407500000000001,0.08889999999999999
tier_2,13,attn_out,code_switching,0.00555,0.020975
tier_2,13,attn_out,standard_translation,0.018500000000000003,0.14515
tier_2,13,attn_out,transliteration,0.008799999999999999,0.029675
tier_2,13,mlp_out,code_switching,0.00010000000000000005,0.026574999999999998
tier_2,13,mlp_out,standard_translation,0.005950000000000001,0.104325
tier_2,13,mlp_out,transliteration,-0.0056500000000000005,0.031275000000000004
tier_2,13,residual,code_switching,0.069775,0.164375
tier_2,13,residual,standard_translation,-0.24805,0.42700000000000005
tier_2,13,residual,transliteration,0.06405,0.0994
tier_2,14,attn_out,code_switching,0.00035000000000000005,0.009524999999999999
tier_2,14,attn_out,standard_translation,-0.018375,0.0736
tier_2,14,attn_out,transliteration,0.021225,0.024399999999999998
tier_2,14,mlp_out,code_switching,0.013025,0.0241
tier_2,14,mlp_out,standard_translation,-0.017974999999999994,0.09040000000000001
tier_2,14,mlp_out,transliteration,0.0087,0.0358
tier_2,14,residual,code_switching,0.06422499999999999,0.1698
tier_2,14,residual,standard_translation,-0.209175,0.378925
tier_2,14,residual,transliteration,0.059375000000000004,0.1031
tier_2,15,attn_out,code_switching,-0.0007499999999999999,0.020025
tier_2,15,attn_out,standard_translation,-0.019875,0.06675
tier_2,15,attn_out,transliteration,0.011274999999999999,0.031975
tier_2,15,mlp_out,code_switching,4.999999999999997e-05,0.02815
tier_2,15,mlp_out,standard_translation,0.0007749999999999979,0.13245
tier_2,15,mlp_out,transliteration,0.005300000000000001,0.025375
tier_2,15,residual,code_switching,0.0309,0.151625
tier_2,15,residual,standard_translation,-0.216175,0.3675
tier_2,15,residual,transliteration,0.052075,0.10925
tier_2,16,attn_out,code_switching,-0.0072,0.017875
tier_2,16,attn_out,standard_translation,-0.005975000000000001,0.076925
tier_2,16,attn_out,transliteration,0.003275,0.013024999999999998
tier_2,16,mlp_out,code_switching,-0.01185,0.0143
tier_2,16,mlp_out,standard_translation,-0.042899999999999994,0.1673
tier_2,16,mlp_out,transliteration,-0.00205,0.019074999999999998
tier_2,16,residual,code_switching,0.014150000000000003,0.149175
tier_2,16,residual,standard_translation,-0.238,0.37375
tier_2,16,residual,transliteration,0.0603,0.10930000000000001
tier_2,17,attn_out,code_switching,-0.0009000000000000002,0.010925
tier_2,17,attn_out,standard_translation,-0.022825,0.07105
tier_2,17,attn_out,transliteration,0.005175000000000001,0.013225
tier_2,17,mlp_out,code_switching,-0.009825,0.0299
tier_2,17,mlp_out,standard_translation,-0.020574999999999996,0.138575
tier_2,17,mlp_out,transliteration,0.013749999999999998,0.025150000000000002
tier_2,17,residual,code_switching,0.022500000000000003,0.15102500000000002
tier_2,17,residual,standard_translation,-0.2455,0.429775
tier_2,17,residual,transliteration,0.06965,0.11475
tier_2,18,attn_out,code_switching,0.0028000000000000004,0.013325
tier_2,18,attn_out,standard_translation,-0.014575,0.04875
tier_2,18,attn_out,transliteration,-0.0032000000000000006,0.011625
tier_2,18,mlp_out,code_switching,-0.0011749999999999998,0.023925000000000002
tier_2,18,mlp_out,standard_translation,-0.019225000000000003,0.080175
tier_2,18,mlp_out,transliteration,0.0166,0.0171
tier_2,18,residual,code_switching,0.04595,0.09559999999999999
tier_2,18,residual,standard_translation,-0.14125,0.22765000000000002
tier_2,18,residual,transliteration,0.024200000000000003,0.049025
tier_2,19,attn_out,code_switching,-0.0008749999999999999,0.0101
tier_2,19,attn_out,standard_translation,0.004624999999999997,0.055975
tier_2,19,attn_out,transliteration,0.002375,0.004874999999999999
tier_2,19,mlp_out,code_switching,0.002825,0.012475
tier_2,19,mlp_out,standard_translation,0.0013500000000000005,0.062525
tier_2,19,mlp_out,transliteration,-0.00865,0.011175000000000001
tier_2,19,residual,code_switching,0.03875,0.076
tier_2,19,residual,standard_translation,-0.116225,0.2145
tier_2,19,residual,transliteration,0.023775,0.037474999999999994
tier_2,20,attn_out,code_switching,0.0033499999999999997,0.005575
tier_2,20,attn_out,standard_translation,0.0012499999999999998,0.022324999999999998
tier_2,20,attn_out,transliteration,-0.00034999999999999994,0.002425
tier_2,20,mlp_out,code_switching,-0.004775,0.014525
tier_2,20,mlp_out,standard_translation,0.01575,0.055625
tier_2,20,mlp_out,transliteration,-0.003425,0.00535
tier_2,20,residual,code_switching,0.042825,0.0823
tier_2,20,residual,standard_translation,-0.0923,0.13175
tier_2,20,residual,transliteration,0.016550000000000002,0.029675
tier_2,21,attn_out,code_switching,0.0028,0.00875
tier_2,21,attn_out,standard_translation,-0.008175,0.01815
tier_2,21,attn_out,transliteration,0.0041,0.0017
tier_2,21,mlp_out,code_switching,0.00865,0.0112
tier_2,21,mlp_out,standard_translation,0.006175,0.04725
tier_2,21,mlp_out,transliteration,0.0054,0.00575
