layer,language,effective_rank,top_sv
26,yo,61,2636.808349609375
27,yo,70,3445.9404296875
0,zu,132,18.37431526184082
1,zu,76,47.68954086303711
2,zu,78,57.479068756103516
3,zu,85,66.4387435913086
4,zu,28,135.1472625732422
5,zu,26,152.2142791748047
6,zu,22,188.59085083007812
7,zu,42,254.2122039794922
8,zu,60,282.8026123046875
9,zu,90,292.3733825683594
10,zu,93,299.0265808105469
11,zu,94,320.4651184082031
12,zu,93,348.84100341796875
13,zu,117,360.31243896484375
14,zu,115,417.9301452636719
15,zu,118,426.1064758300781
16,zu,122,448.1682434082031
17,zu,125,490.354736328125
18,zu,128,531.4297485351562
19,zu,127,606.1472778320312
20,zu,120,772.8167114257812
21,zu,130,919.5076293945312
22,zu,125,1180.5946044921875
23,zu,128,1304.784912109375
24,zu,131,1447.671875
25,zu,130,1712.754150390625
26,zu,117,2483.1494140625
27,zu,127,3131.259765625
0,gd,110,18.914501190185547
1,gd,67,48.843441009521484
2,gd,72,57.513206481933594
3,gd,79,67.31002044677734
4,gd,28,133.8685302734375
5,gd,23,160.32711791992188
6,gd,21,196.00706481933594
7,gd,41,269.66741943359375
8,gd,59,312.58026123046875
9,gd,104,321.14947509765625
10,gd,111,331.4245910644531
11,gd,110,368.84735107421875
12,gd,106,414.17706298828125
13,gd,134,429.1560974121094
14,gd,130,486.6915283203125
15,gd,130,514.0115966796875
16,gd,130,539.4515380859375
17,gd,131,584.0054321289062
18,gd,130,639.0524291992188
19,gd,133,703.0361938476562
20,gd,128,866.965576171875
21,gd,136,1013.8609008789062
22,gd,135,1271.3529052734375
23,gd,140,1406.5189208984375
24,gd,144,1544.8876953125
25,gd,147,1735.169921875
26,gd,141,2322.640625
27,gd,146,2893.253173828125
0,gn,140,17.29300308227539
1,gn,81,51.390995025634766
2,gn,82,61.42047119140625
3,gn,91,69.03596496582031
4,gn,40,132.21145629882812
5,gn,40,145.2996368408203
6,gn,40,176.396240234375
7,gn,83,229.2017364501953
8,gn,118,251.4969024658203
9,gn,168,261.2508850097656
10,gn,170,273.1131896972656
11,gn,168,306.0679931640625
12,gn,171,321.713623046875
13,gn,187,323.9823303222656
14,gn,184,368.335205078125
15,gn,184,379.58343505859375
16,gn,186,400.6662902832031
17,gn,188,434.05255126953125
18,gn,187,465.66900634765625
19,gn,183,524.9346923828125
20,gn,177,665.11279296875
21,gn,184,764.8563842773438
22,gn,181,1006.9483032226562
23,gn,185,1125.86474609375
24,gn,189,1261.3714599609375
25,gn,188,1453.7371826171875
26,gn,182,2101.822265625
27,gn,187,2612.21630859375
