language,layer,angle_idx,angle_rad,angle_deg
gd,16,0,1.5406090643875177,88.27039726900325
gd,17,0,1.5126865321553309,86.67055401878095
gd,18,0,1.526300109132382,87.45055452364245
gn,9,0,1.3108437344399941,75.10581358457934
gn,10,0,1.3105996020073443,75.09182582654624
gn,11,0,1.3434094034873414,76.97168897801215
gn,12,0,1.3985771268183242,80.13256669022287
gn,13,0,1.4475657390622108,82.93940741600049
gn,14,0,1.44864048621718,83.00098589202392
gn,15,0,1.4617927066107637,83.75455261180215
gn,16,0,1.4798369297100553,84.78841043998403
gn,17,0,1.4795449185123701,84.77167943078611
gn,18,0,1.4825425951891171,84.94343365270852
