layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
10,attn_out,es,tier_1,standard_translation,0.0261,0.0216,20,0
10,mlp_out,es,tier_1,standard_translation,0.0964,0.0755,20,0
11,residual,es,tier_1,standard_translation,0.0755,0.0544,20,0
11,attn_out,es,tier_1,standard_translation,0.005,0.0271,20,0
11,mlp_out,es,tier_1,standard_translation,0.0251,0.0727,20,0
12,residual,es,tier_1,standard_translation,0.0551,0.0503,20,0
12,attn_out,es,tier_1,standard_translation,0.0094,0.0458,20,0
12,mlp_out,es,tier_1,standard_translation,0.0926,0.0586,20,0
13,residual,es,tier_1,standard_translation,0.0221,0.0372,20,0
13,attn_out,es,tier_1,standard_translation,0.0086,0.0066,20,0
13,mlp_out,es,tier_1,standard_translation,0.1573,0.0855,20,0
14,residual,es,tier_1,standard_translation,-0.0205,0.0801,20,0
14,attn_out,es,tier_1,standard_translation,-0.0082,0.0142,20,0
14,mlp_out,es,tier_1,standard_translation,0.0948,0.0611,20,0
15,residual,es,tier_1,standard_translation,-0.0163,0.0617,20,0
15,attn_out,es,tier_1,standard_translation,-0.0034,0.0136,20,0
15,mlp_out,es,tier_1,standard_translation,0.0215,0.0183,20,0
16,residual,es,tier_1,standard_translation,-0.0599,0.0688,20,0
16,attn_out,es,tier_1,standard_translation,0.0033,0.0045,20,0
16,mlp_out,es,tier_1,standard_translation,0.0041,0.0248,20,0
17,residual,es,tier_1,standard_translation,-0.0279,0.0285,20,0
17,attn_out,es,tier_1,standard_translation,-0.0152,0.0229,20,0
17,mlp_out,es,tier_1,standard_translation,0.0148,0.0559,20,0
18,residual,es,tier_1,standard_translation,-0.0376,0.0264,20,0
18,attn_out,es,tier_1,standard_translation,0.0058,0.0093,20,0
18,mlp_out,es,tier_1,standard_translation,0.0012,0.0151,20,0
19,residual,es,tier_1,standard_translation,-0.0088,0.0394,20,0
19,attn_out,es,tier_1,standard_translation,-0.0217,0.0204,20,0
19,mlp_out,es,tier_1,standard_translation,0.0039,0.0163,20,0
20,residual,es,tier_1,standard_translation,-0.0068,0.0362,20,0
20,attn_out,es,tier_1,standard_translation,0.0183,0.0156,20,0
20,mlp_out,es,tier_1,standard_translation,0.0071,0.0142,20,0
21,residual,es,tier_1,standard_translation,-0.0256,0.0309,20,0
21,attn_out,es,tier_1,standard_translation,-0.0066,0.0055,20,0
21,mlp_out,es,tier_1,standard_translation,0.0049,0.0176,20,0
22,residual,es,tier_1,standard_translation,-0.0314,0.0306,20,0
22,attn_out,es,tier_1,standard_translation,-0.0027,0.004,20,0
22,mlp_out,es,tier_1,standard_translation,0.0135,0.0237,20,0
23,residual,es,tier_1,standard_translation,-0.0359,0.0305,20,0
23,attn_out,es,tier_1,standard_translation,-0.0096,0.0059,20,0
23,mlp_out,es,tier_1,standard_translation,0.0214,0.0207,20,0
24,residual,es,tier_1,standard_translation,-0.0325,0.0366,20,0
24,attn_out,es,tier_1,standard_translation,0.002,0.0071,20,0
24,mlp_out,es,tier_1,standard_translation,-0.0071,0.0108,20,0
25,residual,es,tier_1,standard_translation,-0.0364,0.0352,20,0
25,attn_out,es,tier_1,standard_translation,-0.0035,0.0076,20,0
25,mlp_out,es,tier_1,standard_translation,-0.0083,0.0235,20,0
26,residual,es,tier_1,standard_translation,-0.0421,0.0369,20,0
26,attn_out,es,tier_1,standard_translation,-0.0028,0.0077,20,0
26,mlp_out,es,tier_1,standard_translation,-0.0195,0.0262,20,0
27,residual,es,tier_1,standard_translation,-0.0394,0.0398,20,0
27,attn_out,es,tier_1,standard_translation,-0.0001,0.0101,20,0
27,mlp_out,es,tier_1,standard_translation,-0.0078,0.0223,20,0
28,residual,es,tier_1,standard_translation,-0.0183,0.037,20,0
28,attn_out,es,tier_1,standard_translation,0.0098,0.0101,20,0
28,mlp_out,es,tier_1,standard_translation,-0.0187,0.0078,20,0
29,residual,es,tier_1,standard_translation,-0.0164,0.0337,20,0
29,attn_out,es,tier_1,standard_translation,0.0136,0.0176,20,0
29,mlp_out,es,tier_1,standard_translation,-0.0193,0.0164,20,0
30,residual,es,tier_1,standard_translation,-0.0055,0.0312,20,0
30,attn_out,es,tier_1,standard_translation,-0.0062,0.0056,20,0
30,mlp_out,es,tier_1,standard_translation,-0.0026,0.0205,20,0
31,residual,es,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,es,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,es,tier_1,standard_translation,0.0,0.0,20,0
0,residual,ar,tier_2,standard_translation,0.0175,0.0466,20,0
0,attn_out,ar,tier_2,standard_translation,0.0025,0.0297,20,0
0,mlp_out,ar,tier_2,standard_translation,-0.0063,0.0791,20,0
1,residual,ar,tier_2,standard_translation,0.0079,0.0485,20,0
1,attn_out,ar,tier_2,standard_translation,-0.0056,0.0335,20,0
1,mlp_out,ar,tier_2,standard_translation,0.005,0.0433,20,0
2,residual,ar,tier_2,standard_translation,0.0023,0.0411,20,0
2,attn_out,ar,tier_2,standard_translation,0.0003,0.0051,20,0
2,mlp_out,ar,tier_2,standard_translation,-0.0041,0.0267,20,0
3,residual,ar,tier_2,standard_translation,0.0013,0.0331,20,0
3,attn_out,ar,tier_2,standard_translation,0.0072,0.0119,20,0
3,mlp_out,ar,tier_2,standard_translation,-0.0024,0.0266,20,0
4,residual,ar,tier_2,standard_translation,-0.0045,0.0351,20,0
4,attn_out,ar,tier_2,standard_translation,-0.0017,0.0034,20,0
4,mlp_out,ar,tier_2,standard_translation,-0.0104,0.0311,20,0
5,residual,ar,tier_2,standard_translation,0.0036,0.0309,20,0
5,attn_out,ar,tier_2,standard_translation,0.0039,0.0155,20,0
