language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
en,24,unknown,0.9701923076923077,0.9977292899408283,0.01,520,520
en,24,all,0.9701923076923077,0.9977292899408283,0.01,520,520
en,25,unknown,0.9701923076923077,0.9976997041420118,0.01,520,520
en,25,all,0.9701923076923077,0.9976997041420118,0.01,520,520
en,26,unknown,0.9701923076923077,0.9977403846153846,0.01,520,520
en,26,all,0.9701923076923077,0.9977403846153846,0.01,520,520
en,27,unknown,0.9701923076923077,0.9976886094674555,0.01,520,520
en,27,all,0.9701923076923077,0.9976886094674555,0.01,520,520
en,28,unknown,0.9701923076923077,0.9977477810650888,0.01,520,520
en,28,all,0.9701923076923077,0.9977477810650888,0.01,520,520
en,29,unknown,0.9692307692307692,0.9977995562130177,0.01,520,520
en,29,all,0.9692307692307692,0.9977995562130177,0.01,520,520
en,30,unknown,0.9682692307692308,0.9978143491124261,0.01,520,520
en,30,all,0.9682692307692308,0.9978143491124261,0.01,520,520
en,31,unknown,0.9711538461538461,0.9977329881656803,0.01,520,520
en,31,all,0.9711538461538461,0.9977329881656803,0.01,520,520
de,0,unknown,0.9778846153846154,0.9981582840236686,1.0,520,520
de,0,all,0.9778846153846154,0.9981582840236686,1.0,520,520
de,1,unknown,0.9548076923076924,0.9919304733727811,0.1,520,520
de,1,all,0.9548076923076924,0.9919304733727811,0.1,520,520
de,2,unknown,0.9673076923076923,0.9950073964497042,0.1,520,520
de,2,all,0.9673076923076923,0.9950073964497042,0.1,520,520
de,3,unknown,0.9625,0.9957692307692307,0.01,520,520
de,3,all,0.9625,0.9957692307692307,0.01,520,520
de,4,unknown,0.975,0.9979992603550296,0.01,520,520
de,4,all,0.975,0.9979992603550296,0.01,520,520
de,5,unknown,0.9759615384615384,0.998276627218935,0.01,520,520
de,5,all,0.9759615384615384,0.998276627218935,0.01,520,520
de,6,unknown,0.9759615384615384,0.9983653846153846,0.01,520,520
de,6,all,0.9759615384615384,0.9983653846153846,0.01,520,520
de,7,unknown,0.9769230769230769,0.9985170118343195,0.01,520,520
de,7,all,0.9769230769230769,0.9985170118343195,0.01,520,520
de,8,unknown,0.975,0.9985022189349113,0.01,520,520
de,8,all,0.975,0.9985022189349113,0.01,520,520
de,9,unknown,0.9778846153846154,0.9985576923076923,0.01,520,520
de,9,all,0.9778846153846154,0.9985576923076923,0.01,520,520
de,10,unknown,0.9740384615384615,0.9984023668639053,0.01,520,520
de,10,all,0.9740384615384615,0.9984023668639053,0.01,520,520
de,11,unknown,0.9769230769230769,0.998487426035503,0.01,520,520
de,11,all,0.9769230769230769,0.998487426035503,0.01,520,520
de,12,unknown,0.975,0.9984319526627219,0.01,520,520
de,12,all,0.975,0.9984319526627219,0.01,520,520
de,13,unknown,0.9730769230769231,0.9983505917159763,0.01,520,520
de,13,all,0.9730769230769231,0.9983505917159763,0.01,520,520
de,14,unknown,0.975,0.9982618343195266,0.01,520,520
de,14,all,0.975,0.9982618343195266,0.01,520,520
de,15,unknown,0.9759615384615384,0.9981545857988166,0.01,520,520
de,15,all,0.9759615384615384,0.9981545857988166,0.01,520,520
de,16,unknown,0.9740384615384615,0.9981065088757396,0.01,520,520
de,16,all,0.9740384615384615,0.9981065088757396,0.01,520,520
de,17,unknown,0.9740384615384615,0.9981213017751479,0.01,520,520
de,17,all,0.9740384615384615,0.9981213017751479,0.01,520,520
de,18,unknown,0.9721153846153846,0.9978883136094675,0.01,520,520
de,18,all,0.9721153846153846,0.9978883136094675,0.01,520,520
de,19,unknown,0.9721153846153846,0.9978254437869822,0.01,520,520
de,19,all,0.9721153846153846,0.9978254437869822,0.01,520,520
de,20,unknown,0.9730769230769231,0.9977958579881657,0.01,520,520
de,20,all,0.9730769230769231,0.9977958579881657,0.01,520,520
de,21,unknown,0.9701923076923077,0.9976849112426036,0.01,520,520
de,21,all,0.9701923076923077,0.9976849112426036,0.01,520,520
de,22,unknown,0.9663461538461539,0.9976849112426035,0.01,520,520
de,22,all,0.9663461538461539,0.9976849112426035,0.01,520,520
de,23,unknown,0.9673076923076923,0.9976775147928995,0.01,520,520
de,23,all,0.9673076923076923,0.9976775147928995,0.01,520,520
de,24,unknown,0.9663461538461539,0.9975776627218935,0.01,520,520
de,24,all,0.9663461538461539,0.9975776627218935,0.01,520,520
de,25,unknown,0.9673076923076923,0.9975776627218935,0.01,520,520
de,25,all,0.9673076923076923,0.9975776627218935,0.01,520,520
de,26,unknown,0.9701923076923077,0.9977107988165681,0.01,520,520
