layer,language,effective_rank,top_sv
5,sw,150,56.33089828491211
6,sw,148,58.61370086669922
7,sw,153,65.95745086669922
8,sw,146,74.64524841308594
9,sw,152,82.55315399169922
10,sw,149,88.73563385009766
11,sw,150,91.84991455078125
12,sw,153,92.21134185791016
13,sw,154,92.49482727050781
14,sw,155,100.95819091796875
15,sw,154,109.86323547363281
16,sw,148,118.32996368408203
17,sw,147,136.3319549560547
18,sw,139,160.91543579101562
19,sw,132,193.61355590820312
20,sw,127,232.2696533203125
21,sw,119,266.7447204589844
22,sw,118,303.95098876953125
23,sw,111,357.4457092285156
24,sw,107,408.5622863769531
25,sw,89,512.75732421875
26,sw,81,607.5960083007812
27,sw,78,702.666015625
28,sw,78,813.62939453125
29,sw,79,919.2133178710938
30,sw,77,1175.3199462890625
31,sw,78,1408.002197265625
0,yo,59,21.46550941467285
1,yo,79,36.245582580566406
2,yo,80,51.223960876464844
3,yo,101,54.844337463378906
4,yo,110,58.82878494262695
5,yo,132,66.226318359375
6,yo,127,70.26374816894531
7,yo,130,77.75775146484375
8,yo,121,85.70835876464844
9,yo,126,92.94227600097656
10,yo,121,98.60401153564453
11,yo,124,100.16156768798828
12,yo,125,99.4367446899414
13,yo,125,100.09904479980469
14,yo,127,105.19857025146484
15,yo,125,108.32331085205078
16,yo,119,113.39981842041016
17,yo,115,123.02147674560547
18,yo,112,141.43601989746094
19,yo,109,161.98423767089844
20,yo,108,188.68576049804688
21,yo,103,214.55113220214844
22,yo,99,243.91477966308594
23,yo,93,285.81365966796875
24,yo,89,337.4214172363281
25,yo,83,390.7710876464844
26,yo,75,498.4896545410156
27,yo,72,569.8200073242188
28,yo,65,695.7335815429688
29,yo,58,853.5679321289062
30,yo,54,1147.93212890625
31,yo,53,1456.4569091796875
0,zu,80,21.907588958740234
1,zu,99,36.55205154418945
2,zu,99,48.9710578918457
3,zu,126,51.890541076660156
4,zu,138,53.320316314697266
5,zu,163,58.83802795410156
6,zu,161,60.82269287109375
7,zu,165,69.21345520019531
8,zu,156,78.65369415283203
9,zu,160,87.6739273071289
10,zu,155,96.76573944091797
11,zu,154,100.8536376953125
12,zu,155,102.20001220703125
13,zu,154,102.10182189941406
14,zu,155,109.91218566894531
15,zu,152,119.25572204589844
16,zu,145,128.97096252441406
17,zu,142,146.4230194091797
18,zu,135,169.66323852539062
19,zu,129,198.48452758789062
20,zu,126,229.3308868408203
21,zu,116,268.0375671386719
22,zu,113,307.6379089355469
23,zu,104,365.11322021484375
24,zu,96,446.39849853515625
25,zu,87,514.8955078125
26,zu,72,663.0537719726562
27,zu,69,764.0850830078125
28,zu,66,878.0558471679688
29,zu,64,999.6787719726562
30,zu,62,1267.6519775390625
31,zu,61,1502.7130126953125
0,gd,62,23.13848876953125
1,gd,84,37.42479705810547
2,gd,88,49.468727111816406
3,gd,114,52.11233901977539
4,gd,123,54.79051208496094
5,gd,146,60.60649490356445
6,gd,145,64.2672348022461
7,gd,149,74.51219940185547
8,gd,142,82.88249969482422
9,gd,147,91.8136978149414
10,gd,144,98.80314636230469
11,gd,143,101.47455596923828
